1,Beef - Texas Style Burger,,true,3.02,,68,2022-05-28 03:46:46,2022-01-19 17:21:19,2021-10-28 10:24:14,4,41
2,Lamb - Sausage Casings,,true,5.08,,99,2022-04-20 09:47:22,2021-07-24 22:02:57,2021-11-30 05:32:04,3,71
3,Sprouts Dikon,,false,10.29,,88,2022-05-03 17:59:10,2021-07-07 15:31:52,2021-11-10 03:52:28,5,69
4,"Salmon - Whole, 4 - 6 Pounds",,true,12.26,,68,2022-06-12 05:32:36,2021-09-09 08:14:17,2021-12-14 06:41:14,4,72
5,Cake - Pancake,,false,23.87,,80,2022-03-12 19:13:13,2021-09-20 06:00:11,2021-12-01 15:37:57,3,83
6,"Coffee - Colombian, Portioned",,true,5.36,,56,2022-06-23 22:22:53,2021-12-04 00:51:45,2021-10-16 06:45:49,5,89
7,Beans - Fava Fresh,,true,8.37,,33,2022-03-19 08:11:22,2021-11-26 06:20:10,2021-11-17 01:04:43,5,4
8,Langers - Ruby Red Grapfruit,,false,18.98,,11,2022-03-25 11:17:39,2021-11-26 02:25:22,2022-01-17 06:45:54,2,73
9,"Wine - White, Lindemans Bin 95",,false,20.01,,28,2022-01-25 01:33:24,2021-12-15 05:08:54,2021-12-25 05:44:57,2,50
10,Bamboo Shoots - Sliced,,false,4.35,,18,2022-06-19 23:03:14,2021-04-05 09:02:41,2022-01-01 19:43:20,5,82
11,Seedlings - Clamshell,,false,9.1,,52,2022-05-24 10:54:02,2021-12-15 03:21:27,2021-10-17 12:25:48,3,16
12,Muffin - Zero Transfat,,true,8.75,,57,2022-06-02 19:31:58,2021-10-23 04:47:10,2022-01-02 02:03:30,2,33
13,"Wine - Sherry Dry Sack, William",,true,21.27,,34,2022-02-16 03:18:12,2021-10-04 11:22:47,2021-11-23 11:01:40,4,80
14,"Chicken - Diced, Cooked",,false,24.59,,57,2022-02-09 14:53:33,2021-12-17 06:22:14,2022-01-03 06:15:52,1,53
15,Cleaner - Bleach,,true,12.97,,89,2022-05-20 12:52:05,2021-10-21 19:34:15,2021-12-21 12:14:53,1,31
16,"Lid - High Heat, Super Clear",,false,14.24,,72,2022-04-19 19:35:50,2021-07-07 12:50:20,2021-11-07 09:31:22,4,30
17,Sauce - Hp,,true,16.55,,62,2022-03-05 05:58:58,2021-06-15 08:37:57,2021-11-28 14:42:30,1,29
18,Bread - Italian Roll With Herbs,,false,5.66,,33,2022-05-13 18:26:02,2021-10-05 16:33:15,2021-11-27 11:36:48,3,38
19,"Nut - Cashews, Whole, Raw",,true,17.58,,6,2022-04-09 08:40:40,2021-02-16 14:41:20,2021-10-04 06:58:36,4,2
20,"Fish - Soup Base, Bouillon",,true,19.47,,4,2022-06-07 19:08:11,2021-11-16 01:17:01,2021-11-26 13:42:23,4,100
21,Ketchup - Tomato,,false,11.14,,10,2022-04-14 04:04:14,2021-05-09 17:31:56,2021-12-08 10:48:45,5,79
22,Sugar - Palm,,true,15.44,,42,2022-03-23 03:25:13,2021-03-12 07:39:44,2021-09-30 10:27:38,2,2
23,Tomatoes - Yellow Hot House,,true,17.98,,57,2022-04-11 02:21:24,2021-08-26 18:58:34,2021-12-04 12:08:17,5,37
24,Parsnip,,true,14.71,,64,2022-03-10 00:02:11,2021-04-23 22:08:05,2021-12-15 07:37:27,1,71
25,"Beef - Tongue, Fresh",,false,5.26,,98,2022-05-03 11:42:48,2021-06-06 03:02:48,2021-10-11 07:10:58,3,52
26,Beer - Original Organic Lager,,true,14.4,,33,2022-03-09 12:16:40,2021-09-08 02:35:56,2021-12-17 17:48:54,4,11
27,Cod - Black Whole Fillet,,true,8.15,,26,2022-06-13 03:10:58,2021-02-07 22:45:42,2022-01-08 10:25:14,4,58
28,Beef - Short Ribs,,false,22.08,,96,2022-06-19 18:47:57,2021-05-01 11:03:39,2021-12-10 13:34:52,1,20
29,"Capon - Breast, Double, Wing On",,false,23.49,,92,2022-04-14 11:40:15,2021-12-23 21:55:58,2022-01-03 22:01:25,2,58
30,Bar Nature Valley,,true,7.11,,60,2022-02-26 06:22:13,2021-12-11 12:01:10,2022-01-02 01:07:17,4,61
31,Mint - Fresh,,false,5.26,,48,2022-06-09 20:27:43,2022-01-09 03:56:18,2022-01-23 18:51:43,1,95
32,Wine - Sauvignon Blanc Oyster,,false,24.29,,97,2022-05-11 15:18:34,2021-08-17 11:45:26,2021-10-12 11:34:11,5,61
33,Yeast Dry - Fermipan,,true,10.93,,79,2022-04-28 10:03:58,2021-04-15 22:22:54,2021-10-18 12:03:08,2,37
34,Pear - Prickly,,false,10.05,,96,2022-05-21 19:39:55,2021-08-15 02:34:50,2021-10-17 10:08:14,1,82
35,Scallops 60/80 Iqf,,true,1.85,,72,2022-06-03 16:30:39,2021-08-18 01:25:43,2021-11-02 12:26:17,4,25
36,Wine - Soave Folonari,,false,21.2,,90,2022-02-14 15:15:37,2021-02-23 18:29:09,2021-12-17 10:29:24,2,6
37,Cookie - Oreo 100x2,,true,6.41,,36,2022-04-09 03:19:47,2022-01-18 15:26:48,2021-12-10 02:42:11,2,25
38,Potatoes - Fingerling 4 Oz,,false,22.81,,15,2022-04-02 19:31:32,2021-02-14 23:05:52,2021-11-26 06:45:53,5,88
39,Veal - Loin,,true,14.27,,89,2022-03-18 06:51:03,2021-12-22 08:57:58,2021-11-12 14:12:53,1,35
40,"Mushroom - Enoki, Fresh",,false,15.16,,30,2022-06-09 06:40:47,2021-11-11 22:46:02,2021-11-23 08:57:43,1,56
